removal_step,removed_node,components_after,largest_cc_size,nodes_remaining,connectivity_loss_pct
1,432841717,2,155157,155158,0.0012890003158050772
2,1552140898,2,155156,155157,0.001933500473707616
3,247966045,2,155155,155156,0.0025780006316101544
4,248810165,3,155153,155155,0.003867000947415232
5,249075661,3,155152,155154,0.00451150110531777
6,329220635,4,155150,155153,0.005800501421122849
7,344371036,5,155148,155152,0.007089501736927925
8,348037013,5,155147,155151,0.007734001894830464
9,426941449,5,155146,155150,0.008378502052733003
10,426941478,5,155145,155149,0.00902300221063554
11,435688208,5,155144,155148,0.00966750236853808
12,447114380,5,155143,155147,0.010312002526440617
13,459793692,6,155141,155146,0.011601002842245698
14,463393648,7,155137,155145,0.01417900347385585
15,465232484,7,155136,155144,0.01482350363175839
16,491866470,7,155135,155143,0.015468003789660928
17,503309003,7,155134,155142,0.01611250394756347
18,521157697,7,155133,155141,0.016757004105466006
19,529003714,7,155132,155140,0.017401504263368544
20,529359558,7,155131,155139,0.01804600442127108
